canal,ruim,rms,std,kurt,motivo,fonte
1,False,40.221557556674824,40.221555384235515,1.773726002330947,,
2,False,42.97459680592532,42.97458878756492,34.00137324633259,,
3,False,40.04255943264524,40.04254994799406,8.564757034803502,,
4,True,77.05088473359423,77.0508815484264,876.7906265229501,Saturação/artefato extremo (kurtosis=876.8 > 50),auto
5,False,40.10215399102498,40.102144981312144,2.264108360547941,,
6,False,1425.2003450909456,1425.20010521034,2.831076828251396,,
7,False,1496.939531356561,1496.939518721439,2.653998400615005,,
8,False,75.90758490167705,75.90748525291973,-0.07254869742194181,,
9,False,88.08664913809416,88.08658680953971,-0.003923858307289141,,
10,False,1857.7529423484177,1857.7504445840723,1.5777119706861962,,
11,False,82.82669458507893,82.82657727754756,2.5348251258429784,,
12,False,2483.0291251415547,2483.028979476993,0.23269046566455298,,
13,False,1663.7182799565576,1663.7175634699352,1.9030603199710638,,
14,False,2369.3854258494252,2369.3845444173094,0.41292080243981877,,
15,False,2375.9377913760936,2375.9370202662362,0.414428408422963,,
16,False,1083.4431002953481,1083.4428583337688,5.220821098532975,,
