canal,ruim,rms,std,kurt,motivo,fonte
1,True,182.64744985309684,182.64743931828454,287.78285083330144,Saturação/artefato extremo (kurtosis=287.8 > 50),auto
2,True,174.99005448462725,174.99004547320808,325.3527191250434,Saturação/artefato extremo (kurtosis=325.4 > 50),auto
3,True,140.20967087424805,140.20966464567908,809.1167533822507,Saturação/artefato extremo (kurtosis=809.1 > 50),auto
4,True,141.34052939639278,141.34052236893515,793.181613308697,Saturação/artefato extremo (kurtosis=793.2 > 50),auto
5,True,141.8564731690012,141.85646710041198,798.2947998484424,Saturação/artefato extremo (kurtosis=798.3 > 50),auto
6,True,141.28180229806352,141.2817923179211,805.8315999351762,Saturação/artefato extremo (kurtosis=805.8 > 50),auto
7,True,145.48542116009253,145.48541174304643,726.1985956687315,Saturação/artefato extremo (kurtosis=726.2 > 50),auto
8,False,713.2998732306487,713.2998154078747,10.631608048149964,,
9,True,177.7690023200964,177.768986741559,317.0686234308157,Saturação/artefato extremo (kurtosis=317.1 > 50),auto
10,True,178.49575736788938,178.49574893493852,299.6001958273998,Saturação/artefato extremo (kurtosis=299.6 > 50),auto
11,True,183.22241450488733,183.2223875253933,259.0845632591728,Saturação/artefato extremo (kurtosis=259.1 > 50),auto
12,True,185.48108486874264,185.48105830224992,194.69924515394547,Saturação/artefato extremo (kurtosis=194.7 > 50),auto
13,True,189.3049546535329,189.3049223866852,260.5796930597425,Saturação/artefato extremo (kurtosis=260.6 > 50),auto
14,True,162.77555036684183,162.7755392844335,328.7514238562709,Saturação/artefato extremo (kurtosis=328.8 > 50),auto
15,True,174.62684101252228,174.62683592153618,251.75565183021212,Saturação/artefato extremo (kurtosis=251.8 > 50),auto
16,True,177.64871595540893,177.64870926236733,314.65260094429374,Saturação/artefato extremo (kurtosis=314.7 > 50),auto
