fold,rato_teste,n_amostras_teste,balanced_accuracy,f1_macro,precision_macro,recall_macro
1,R1,18,0.3214285714285714,0.25,0.5,0.21428571428571427
2,R2,48,0.4375,0.4123495552066981,0.5212121212121211,0.4375
3,R3,41,0.656517094017094,0.6502702702702704,0.6686507936507936,0.656517094017094
4,R4,44,0.5694444444444444,0.5707525707525708,0.6162464985994398,0.5694444444444444
5,R5,48,0.5,0.4040920716112532,0.34814814814814815,0.5
6,R7,32,0.45384615384615384,0.41737891737891736,0.4225589225589226,0.45384615384615384
7,R8,29,0.2644230769230769,0.21200510855683272,0.2871794871794872,0.1762820512820513
