canal,ruim,rms,std,kurt,motivo,fonte
1,False,78.49310895758477,78.4931036092469,0.1600727676112328,,
2,False,70.8232941031169,70.82328424252535,-0.014373382908071886,,
3,False,790.1951785618296,790.194766457302,11.987662433015663,,
4,False,472.9071067062803,472.9069490095231,28.68098919383501,,
5,False,973.635808882389,973.635594133232,8.614866838192254,,
6,False,561.279810794994,561.2797835280463,24.19225060695063,,
7,False,873.5389769232755,873.5385993591526,10.384867375290987,,
8,False,975.7448900281323,975.7446219890578,8.781117006060686,,
9,False,75.66363322412755,75.6636088075304,0.593718404762035,,
10,False,1057.9549772026942,1057.9548003122986,7.849512147082796,,
11,True,88.83215496568079,88.83213724298997,52.76660354447916,Saturação/artefato extremo (kurtosis=52.8 > 50),auto
12,False,58.09782367531875,58.09781937773163,0.3936926999403254,,
13,False,78.40353131202434,78.40351707913557,0.1907590930236296,,
14,False,81.07917075124392,81.07914662579678,0.052532280481162985,,
15,True,97.3093282039618,97.30931901090078,348.1686836809789,Saturação/artefato extremo (kurtosis=348.2 > 50),auto
16,False,79.37010664170154,79.37008955634757,0.005818867701267383,,
