fold,rato_teste,n_amostras_teste,balanced_accuracy,f1_macro,precision_macro,recall_macro
1,R1,18,0.3392857142857143,0.23737373737373735,0.2916666666666667,0.2261904761904762
2,R2,48,0.3541666666666667,0.3304689304689305,0.3951000690131125,0.3541666666666667
3,R3,41,0.48023504273504275,0.4864938982586042,0.5079365079365079,0.48023504273504275
4,R4,44,0.5972222222222222,0.6187590187590187,0.6656346749226006,0.5972222222222222
5,R5,48,0.4791666666666667,0.4515873015873016,0.46932234432234426,0.4791666666666667
6,R7,32,0.5405982905982906,0.45943449843705597,0.49544159544159544,0.5405982905982906
7,R8,29,0.27884615384615385,0.24444444444444446,0.35714285714285715,0.1858974358974359
