modelo,classe,precisao,revocacao,f1,suporte
RandomForest,25%,0.4225352112676056,0.32967032967032966,0.37037037037037035,91
RandomForest,50%,0.5,0.6097560975609756,0.5494505494505495,82
RandomForest,75%,0.5056179775280899,0.5172413793103449,0.5113636363636364,87
Regressão Logística,25%,0.40963855421686746,0.37362637362637363,0.39080459770114945,91
Regressão Logística,50%,0.4,0.4878048780487805,0.43956043956043955,82
Regressão Logística,75%,0.5454545454545454,0.4827586206896552,0.5121951219512195,87
XGBoost,25%,0.4268292682926829,0.38461538461538464,0.4046242774566474,91
XGBoost,50%,0.4936708860759494,0.47560975609756095,0.484472049689441,82
XGBoost,75%,0.48484848484848486,0.5517241379310345,0.5161290322580645,87
