passo_pct,n_bins,n_atributos,balanced_accuracy_cv
50,2,51,0.4251439037153323
45,2,51,0.4251439037153323
40,2,51,0.4251439037153323
30,3,73,0.4133939473225187
35,3,73,0.4133939473225187
20,5,128,0.4118066457352172
5,20,503,0.40533097854526423
15,7,170,0.38558128379556955
25,4,101,0.36789747950462237
10,10,246,0.3487637362637362
