canal,ruim,rms,std,kurt,motivo,fonte
1,False,1139.9533717457612,1139.9533402024217,7.93657574823043,,
2,False,132.92240107263672,132.92239591350398,47.84417628140311,,
3,True,108.43618639705595,108.4361833389736,105.83760605448921,Saturação/artefato extremo (kurtosis=105.8 > 50),auto
4,True,113.6741744108305,113.67417293641785,103.92475345745162,Saturação/artefato extremo (kurtosis=103.9 > 50),auto
5,True,108.40026381797827,108.40026171823735,119.32415081876675,Saturação/artefato extremo (kurtosis=119.3 > 50),auto
6,True,107.84832444838561,107.84832183018972,116.7959027509679,Saturação/artefato extremo (kurtosis=116.8 > 50),auto
7,True,105.63765747223341,105.63765676820958,121.30690920829217,Saturação/artefato extremo (kurtosis=121.3 > 50),auto
8,True,103.66036824945648,103.66036370747987,125.47775748732528,Saturação/artefato extremo (kurtosis=125.5 > 50),auto
9,False,288.2267437184697,288.2267323287133,4.160884442369041,,
10,False,316.8853217081236,316.88531877923907,2.9127414911770506,,
11,False,362.9454905658418,362.94548347911774,0.8069014449233047,,
12,False,324.138597745975,324.1385967748602,2.0104793533417284,,
13,True,156.7042891377893,156.70428027921378,66.30606819567794,Saturação/artefato extremo (kurtosis=66.3 > 50),auto
14,False,262.58892604735365,262.5889217428772,9.139493198550863,,
15,False,161.65004820993423,161.65003500091498,21.07461802252271,,
16,False,176.57787230297737,176.57786475813066,16.839026101058774,,
