canal,ruim,rms,std,kurt,motivo,fonte
1,False,1272.9532914135043,1272.947801953891,5.530096497202841,,
2,True,159.07161523714572,159.028413334503,339.55256100475964,Saturação/artefato extremo (kurtosis=339.6 > 50),auto
3,True,139.48341144819986,139.43339122914915,569.2098426672701,Saturação/artefato extremo (kurtosis=569.2 > 50),auto
4,True,139.38797218563923,139.33619884706252,603.0276605163606,Saturação/artefato extremo (kurtosis=603.0 > 50),auto
5,True,142.63973654654507,142.58906533575663,558.6359767794422,Saturação/artefato extremo (kurtosis=558.6 > 50),auto
6,True,140.52672114337432,140.47602570631952,578.7283410486596,Saturação/artefato extremo (kurtosis=578.7 > 50),auto
7,True,139.11833934511733,139.06637895615944,613.7510757554538,Saturação/artefato extremo (kurtosis=613.8 > 50),auto
8,True,138.0736260171519,138.02171929986432,620.4697978025744,Saturação/artefato extremo (kurtosis=620.5 > 50),auto
9,False,309.8336711127136,309.8100243201359,26.600787279684745,,
10,False,346.36264035501137,346.34026181132293,17.884656406857474,,
11,False,410.0178496443723,409.99932427624844,8.34815352564543,,
12,False,332.63860469748926,332.6158247417375,19.808299443001047,,
13,True,185.18843252257957,185.14896898199692,194.35849715870225,Saturação/artefato extremo (kurtosis=194.4 > 50),auto
14,False,1768.365979340364,1768.360025915324,2.313385218640815,,
15,True,184.63610172365557,184.59676908637084,202.29364014948902,Saturação/artefato extremo (kurtosis=202.3 > 50),auto
16,True,195.2842096313572,195.24789853558445,151.00899695144543,Saturação/artefato extremo (kurtosis=151.0 > 50),auto
