canal,ruim,rms,std,kurt,motivo,fonte
1,True,60.24627608238893,60.24620906201555,0.41678534124153366,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
2,True,323.8225600990935,323.822140206516,49.8808559511617,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
3,True,98.67850119049197,98.678500281845,15.557022714054298,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
4,True,58.26105593874077,58.260992948244535,0.4283935905272962,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
5,True,59.514862059661105,59.51479346076634,0.428575646007753,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
6,True,171.78519783238107,171.78517608433478,109.62811939607647,"Saturação/artefato extremo (kurtosis=109.6 > 50) | Anotação CSV: ""Sinal igual min 32,35,40,46""",csv+auto
7,True,51.52709561413921,51.52709312116303,26.782229010101624,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
8,True,33.18017924877862,33.18017681372777,4.597813524806833,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
9,True,39.319961930476225,39.31995057583346,71.87521191996848,"Saturação/artefato extremo (kurtosis=71.9 > 50) | Anotação CSV: ""Sinal igual min 32,35,40,46""",csv+auto
10,True,356.3267414394245,356.3265105883412,27.131873108685223,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
11,True,300.5202219215656,300.5200106901523,37.1732738509675,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
12,True,84.5913278263722,84.59125916202308,121.4519774248677,"Saturação/artefato extremo (kurtosis=121.5 > 50) | Anotação CSV: ""Sinal igual min 32,35,40,46""",csv+auto
13,True,136.57230258563888,136.57228398619176,-0.4546283040238972,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
14,True,541.6802927260201,541.6795577364059,24.44859656017671,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
15,True,203.93547711016228,203.9353048893981,67.49724446895652,"Saturação/artefato extremo (kurtosis=67.5 > 50) | Anotação CSV: ""Sinal igual min 32,35,40,46""",csv+auto
16,True,138.43792550442294,138.43791807123645,-0.44741068706306963,"Anotação CSV: ""Sinal igual min 32,35,40,46""",csv
