canal,ruim,rms,std,kurt,motivo,fonte
1,False,56.90739886373549,56.9073881274355,0.3340006945204017,,
2,False,91.80866177659284,91.80866113877413,22.975046064031243,,
3,False,60.62409197748442,60.624061439420615,1.8160133368669076,,
4,False,55.48286557970274,55.48285922669134,0.29766065127118013,,
5,False,56.11581622943115,56.11580854325361,0.31206688088834955,,
6,True,63.475683926808465,63.47565682312734,212.69486058635937,Saturação/artefato extremo (kurtosis=212.7 > 50),auto
7,True,56.148762330017796,56.148754689886296,277.8340097069604,Saturação/artefato extremo (kurtosis=277.8 > 50),auto
8,False,42.48580935046105,42.485802260843116,18.8564646788752,,
9,True,48.06492484591469,48.06491598749545,301.8378022770337,Saturação/artefato extremo (kurtosis=301.8 > 50),auto
10,True,84.17666776254362,84.17662510719295,77.1993093983517,Saturação/artefato extremo (kurtosis=77.2 > 50),auto
11,False,19.48028365204349,19.48027970604415,0.7643767633178786,,
12,False,120.0457602544359,120.04562916546692,-0.4382921754877662,,
13,False,140.79692353519704,140.79680694037276,-0.5021029188848241,,
14,False,220.8245645597888,220.82423755093575,21.65186664829712,,
15,False,136.72970515964008,136.7295717324772,41.480989977524814,,
16,False,143.0563679832519,143.0562448803949,-0.4565630710806676,,
