canal,ruim,rms,std,kurt,motivo,fonte
1,True,59.48127224296249,59.48127002344736,8.34097587389331,"Anotação CSV: ""Sinal ruim""",csv
2,True,294.9324349914788,294.93235874068307,62.57080779933523,"Saturação/artefato extremo (kurtosis=62.6 > 50) | Anotação CSV: ""Sinal ruim""",csv+auto
3,True,56.940835540014156,56.940832241781116,0.34239173872160533,"Anotação CSV: ""Sinal ruim""",csv
4,True,57.223116600286716,57.223114977047445,0.31861086866513544,"Anotação CSV: ""Sinal ruim""",csv
5,True,58.29503326069575,58.295029186942415,0.30662954563703915,"Anotação CSV: ""Sinal ruim""",csv
6,True,138.2138032747243,138.21379256433997,44.822893080912706,"Anotação CSV: ""Sinal ruim""",csv
7,True,54.98753420473662,54.987530162367634,6.577086263275504,"Anotação CSV: ""Sinal ruim""",csv
8,True,61.39725643899609,61.39725591856686,815.1716113559793,"Saturação/artefato extremo (kurtosis=815.2 > 50) | Anotação CSV: ""Sinal ruim""",csv+auto
9,True,41.39201623605633,41.392015603319344,26.691665494861194,"Anotação CSV: ""Sinal ruim""",csv
10,True,336.408292362955,336.40827058263085,24.020092211468256,"Anotação CSV: ""Sinal ruim""",csv
11,True,291.99158930929303,291.99155849084036,24.897443165555227,"Anotação CSV: ""Sinal ruim""",csv
12,True,75.58871139915634,75.58870889839227,24.623826355018142,"Anotação CSV: ""Sinal ruim""",csv
13,True,142.96118532211253,142.9611750793137,-0.4780293140133489,"Anotação CSV: ""Sinal ruim""",csv
14,True,545.5981803403745,545.5961120339024,17.596113579682804,"Anotação CSV: ""Sinal ruim""",csv
15,True,200.28813990195414,200.2881184848351,67.04356543622548,"Saturação/artefato extremo (kurtosis=67.0 > 50) | Anotação CSV: ""Sinal ruim""",csv+auto
16,True,146.2666129911308,146.26653811217685,-0.4789903694207478,"Anotação CSV: ""Sinal ruim""",csv
