canal,ruim,rms,std,kurt,motivo,fonte
1,False,140.56970002764461,140.569699047456,46.448165026373196,,
2,False,116.7681900465663,116.76818968490967,-0.3144021858714967,,
3,True,147.92561219796224,147.92561217967886,296.35121727058754,Saturação/artefato extremo (kurtosis=296.4 > 50),auto
4,True,102.60168008694801,102.60167650223059,259.9642927322867,Saturação/artefato extremo (kurtosis=260.0 > 50),auto
5,True,66.02089145346675,66.02089143200463,380.52401162317443,Saturação/artefato extremo (kurtosis=380.5 > 50),auto
6,False,45.57540220517977,45.5753982575671,13.609526970299108,,
7,True,82.1907008414798,82.19069870539714,118.0157158672997,Saturação/artefato extremo (kurtosis=118.0 > 50),auto
8,False,1012.3788534657133,1012.3787457841623,5.7128813217596655,,
9,False,137.17967079764585,137.17966621010314,35.805494708454425,,
10,False,126.10324737290232,126.10322921503774,-0.26779893800360854,,
11,False,152.9554712624398,152.95546060255808,39.55723062889918,,
12,False,157.46839568825686,157.46838825388073,16.73328518218335,,
13,True,255.35890550342535,255.35890513089333,186.96391136678275,Saturação/artefato extremo (kurtosis=187.0 > 50),auto
14,True,188.00891058959272,188.00891053563473,166.9311510530742,Saturação/artefato extremo (kurtosis=166.9 > 50),auto
15,False,132.66102238522737,132.66102223713773,0.37078969665753725,,
16,True,173.9237505921455,173.92374990867435,94.22630434065523,Saturação/artefato extremo (kurtosis=94.2 > 50),auto
