canal,ruim,rms,std,kurt,motivo,fonte
1,False,1144.5231897816743,1144.5227613512486,8.079536122785,,
2,False,404.96809685367595,404.9679919122071,27.686078074387332,,
3,False,394.65231269967035,394.6522658413132,29.987714958474328,,
4,False,394.4256927523685,394.4255973468743,28.949572591395402,,
5,False,400.3210579404606,400.32098380378756,34.41703556161765,,
6,False,390.21217502044357,390.2121003727068,29.284660456327472,,
7,False,393.44122986925413,393.4411540779202,29.651911657821046,,
8,False,389.4312511310955,389.4311977037992,30.993198330637767,,
9,False,472.8486050678487,472.8485519455915,13.495935543025812,,
10,False,493.0609716482458,493.0608804080934,10.794509364954306,,
11,False,541.9125223130007,541.9124589151348,7.4221809803966625,,
12,False,486.2120994013567,486.2120308002806,11.617424423323259,,
13,False,405.18090975114325,405.1808568233398,25.421565383505772,,
14,False,1404.593767238718,1404.5926657496298,3.6904292913222543,,
15,False,403.4636071020381,403.46347425341304,25.04069905212151,,
16,False,412.40302330645255,412.40292004796066,24.45457010169777,,
